input,context,expected_output
"George, Professor of Law @ The Catholic University of America, Notre Dame Journal Of Law, Ethics & Public Policy, Vol. 13, “Judicial Decision-Making in the Age of Biotechnology”, AB
Bioethics can be seen as having no defined essence which sets it apart as a distinct study or discipline. Rather, its individuation derives from a de facto set of issues interrelated by what might be termed ""family resemblances."" While a common thread joining all of the issues is exceedingly difficult to find, the central core comprising the list of these issues, without question, is a felt concern over the technology of control of man's body, his mind, and quality of life. Many of the concerns of bioethics are concerns of public policy—or with legislation and policy guidelines—at state, local, and federal levels, that need to be enacted and enforced with respect to all of the issues comprising the de facto set. It has been suggested that bioethical concerns are but those prohibitions all rational people urge everyone to follow in an effort to avoid evils on which common agreement exists. Outside the individual context of determining how one treats another, for moral acceptability to be given at the broader societal level, a democratic consensus must be reached acknowledging that a certain good must be promoted though its promotion causes some degree of harm. It is within this setting where much of what is recognized as ""bioethics"" is focused. While individual morality operates primarily within a system of restraints, policies affecting society as a whole operate on a level where promotion of good is a moral option. The pivotal question thus becomes, ""what goods ought to be restrained (e.g., scientific research)?"" Of necessity, priorities, values, and goods must be weighed, balanced, and compared. Whenever the benefits and the risks of a particular course of action are weighed, it is well remembered that those very elements in the balancing test are based upon judgments about values, with the penultimate goal being the formulation and validation of a final action which minimizes human suffering and maximizes the social good. 5 In a more specific sense, bioethics encompasses a whole political movement. 6 It is a movement which seeks to harness political forces to deal with a plethora of ethical problems relating to health care delivery, both at the micro and the macro level of economic distribution. It also endeavors to respond—often through legislative reforms—to complex issues such as physician assisted suicide, cryonic suspension, genetic discrimination in the workplace, abortion, privacy, sterilization, human experimentation, collaborative reproduction by use of in vitro fertilization, artificial insemination, cloning, and personal relationships necessary to create a family by homosexuals and lesbians. 7 All too often, contemporary society's concerns over the need for regulating ethical regimes to guide or even control these activities has driven it in turn to seek medical laws about areas such as death and dying, genetic counseling and screening, reproductive technologies, and organ transplants. Often there is little choice for legal passivity or inaction since ""the law is a primary vehicle for resolving disagreements about public policy and the treatment of real persons.""8 And today, Americans seem to be reshaping their political questions ultimately into judicial questions.9 Yet, a healthy degree of skepticism is needed to see the inherent limitations on the legal system in its efforts to regulate biomedical developments. 10 Each legal tool used must be constantly fine-tuned and re-evaluated by ever changing public policies—all with the purpose of determining which of the tools is best fitted to deal with specific biomedical problems"" and which one validates a final action that ideally minimizes human suffering and maximizes the social or common good.",summarize the following text: ,"Bioethics can be seen as having no defined essence a common thread joining all of the issues is difficult the core is a felt concern over the technology of control of man's body, his mind, and quality of life concerns of bioethics are concerns of public policy with legislation and policy guidelines at state, local, and federal levels, that need to be enacted and enforced with respect to all of the issues comprising the de facto set Outside the individual context a democratic consensus must be reached acknowledging that a certain good must be promoted individual morality operates within a system of restraints policies affect  society as a whole operate on a level where promotion of good is a moral option The pivotal question thus becomes Of priorities values and goods must be weighed and compared In a more specific sense bioethics encompasses a whole political movement It is a movement which seeks to harness political forces to deal with ethical problems relating to health care delivery, both at the micro and the macro level It also endeavors to respond often through legislative reforms to complex issues such as physician assisted suicide contemporary society's concerns over the need for regulating ethical regimes to guide or even control these activities to seek medical laws about areas such as death and dying there is little choice for legal passivity or inaction since the law is a primary vehicle for resolving disagreements about public policy and the treatment of real persons Each legal tool used must be constantly fine-tuned and re-evaluated by ever changing public policies with the purpose of determining tools best fitted to deal with specific biomedical problems"" and validates a final action that minimizes human suffering"
"Properly speaking, empathy is a projection of oneself into another in order to better understand the other or “the projection of one’s own personality into an object, with the attribution to the object of one’s own emotions.” Yet empathy in important respects confounds Rankin’s efforts to identify with the enslaved because in making the slave’s suffering his own, Rankin begins to feel for himself rather than for those whom this exercise in imagination presumably is designed to reach. Moreover, by exploiting the vulnerability of the captive body as a vessel for the uses, thoughts, and feelings of others, the humanity extended to the slave inadvertently confirms the expectations and desires definitive of the relations of chattel slavery. In other words, the ease of Rankin’s empathetic identification is as much due to his good intentions and heartfelt opposition to slavery as to the fungibility of the captive body. By making the suffering of others his own, has Rankin ameliorated indifference or only confirmed the difficulty of understanding the suffering of the enslaved? Can the white witness of the spectacle of suffering affirm the materiality of black sentience only by feeling for himself? Does this not only exacerbate the idea that black sentience is inconceivable and unimaginable but, in the very ease of possessing the abased and enslaved body, ultimately elide an understanding and acknowledgement of the slave’s pain? Beyond evidence of slavery’s crime, what does this exposure of the suffering body of the bondsman yield? Does this not reinforce the “thingly” quality of the captive by reducing the body to evidence in the very effort to establish the humanity of the enslaved? Does it not reproduce the hyperembodiness of the powerless? The purpose of these inquiries is not to cast doubt on Rankin’s motives for recounting these events but to consider the precariousness of empathy and the thin line between witness and spectator. In the fantasy of being beaten, Rankin must substitute himself and his wife and children for the black captive in order that this pain can be perceived and experienced. So, in fact, Rankin becomes a proxy and the other’s pain is acknowledged to the degree that it can be imagined, yet by virtue of this substitution the object of identification threatens to disappear. In order to convince the reader of the horrors of slavery, Rankin must volunteer himself and his family for abasement. Put differently, the effort to counteract the commonplace callousness to black suffering requires that the white body be positioned in the place of the black body in order to make this suffering visible and intelligible. Yet if this violence can become palpable and indignation can be fully aroused only through the masochistic fantasy, then it becomes clear that empathy is double-edged, for in making the other’s suffering one’s own, this suffering is occluded by the other’s obliteration. Given the litany of horrors that fill Rankin’s pages, this recourse to fantasy reveals an anxiety about making the slave’s suffering legible. This anxiety is historically determined by the denial of black sentience, the slave’s status as object of property, the predicament of witnessing given the legal status of blacks, and the repression of counterdiscourses on the “peculiar institution.“ Therefore, Rankin must supplant the black captive in order to give expression to black suffering, and as a consequence, the dilemma – the denial of black sentience and the obscurity of suffering – is not attenuated but instantiated. The ambivalent character of empathy-more exactly, the repressive effects of empathy-as Jonathan Boyarin notes, can be located in the “obliteration of otherness” or the facile intimacy that enables identification with the other only as we “feel ourselves into those we imagine as ourselves.” And as a consequence, empathy fails to expand the space of the other but merely places the self in its stead.",summarize the following text: ,"empathy is a projection of oneself into another  to  understand the other or “the projection of one’s own personality into an object, with the attribution to the object of one’s own emotions empathy confounds Rankin’s efforts to identify with the enslaved because in making the slave’s suffering his own, Rankin begins to feel for himself by exploiting the vulnerability of the captive body as a vessel for  uses, thoughts, and feelings  the humanity extended to the slave inadvertently confirms the expectations and desires definitive of the relations of chattel slavery the ease of Rankin’s empathetic identification is as much due to his good intentions and heartfelt opposition to slavery as to the fungibility of the captive body Can the white witness of the spectacle of suffering affirm the materiality of black sentience only by feeling for himself? Does this not reinforce the “thingly” quality of the captive by reducing the body to evidence in the very effort to establish the humanity of the enslaved The purpose of these inquiries is not to cast doubt on Rankin’s motives for recounting these events but to consider the precariousness of empathy and the thin line between witness and spectator the effort to counteract the commonplace callousness to black suffering requires  the white body be positioned in place of the black body in order to make this suffering visible and intelligible empathy is double-edged,  in making the other’s suffering one’s own, this suffering is occluded by the other’s obliteration this recourse to fantasy reveals an anxiety about making the slave’s suffering legible. This anxiety is historically determined by the denial of black sentience, the slave’s status as object of property Rankin must supplant the black captive  to give expression to black suffering, and as a consequence, – the denial of black sentience and the obscurity of suffering – is not attenuated but instantiated. the repressive effects of empathy can be located in the “obliteration of otherness” or the facile intimacy that enables identification with the other only as we “feel ourselves into those we imagine as ourselves as a consequence, empathy fails to expand the space of the other but merely places the self in its stead."
"Internet gambling is an issue of strategic financial stability and Wall Street regulation. It is not just an issue of silly games and electronic poker as argued by supporters of the proposed Reid-Kyl bill to legalize gateway gambling in cyberspace (See “ HYPERLINK ""http://www.rollcall.com/news/lipparelli_congress_should_use_this_brief_window_to_legislate_internet-220055-1.html"" Lipparelli: Congress Should Use This Brief Window to Legislate Internet Gaming.”) In 1995, congressional hearings led to enactment of the U.S. National Gambling Impact Study Commission, which concluded in 1999 that maintaining a total ban on Internet gambling was a U.S. imperative. Currently this ban is supported by almost all members of the National Association of Attorneys General. Congress even strengthened the ban by enacting the Unlawful Internet Gambling Enforcement Act of 2006, which passed in the House with an overwhelmingly favorable bipartisan vote. Immediately the Internet gambling stocks on the London Stock Exchange lost billions of dollars as speculators finally recognized that these stocks were predicated on illusory gambling activities. Fortunately for Wall Street, the U.S. ban meant that such vacuous gambling stocks were already prohibited on U.S. stock exchanges. Around the same time, Russian President Vladimir Putin sanguinely noted the economic and crime costs of state-sanctioned gambling and recriminalized 2,230 casinos — virtually wiping the economy clean. Associated leaders such as Chechen President Ramzan Kadyrov confirmed that “the gambling business is ... [a threat to] national security.” What do the Russian economists know that is still eluding Washington politicians? At least the subprime crisis had some real property as collateral. However, with Internet gambling there’s nothing of real value — just people dumping money into gambling accounts which can evaporate more easily than the Bernie Madoff monies. U.S. gambling is an economic cancer ready to metastasize into Internet gambling. For example, the Congressional Gaming Caucus used the 9/11 tragedy to cripple the 2002 Economic Stimulus Bill with $40 billion in tax write-offs for slot machines and associated electronics (and the caucus had asked for $133 billion in tax write-offs). These recurring write-offs for slots are still draining the U.S. Treasury and could easily be transposed into more write-offs for Internet gambling technologies. Gambling lobbyists also dominate the economic policies of 28 states, draining state treasuries — as exemplified by Illinois, with the nation’s worst state budget crisis. With a total fair market value of $5 billion ($9.5 billion in 2012 dollars), the original 10 Illinois casino licenses, for example, were granted to political insiders for $25,000 each — including one political insider recently convicted in the scandals surrounding former Gov. Rod Blagojevich. Within this gambling aura, experts commonly refer to Internet gambling as “crack cocaine” for addicting new gamblers. Internet gambling would place the worst type of computer gambling at every school desk, at every work desk, in every living room and on every cell phone. In an instant, a person could “click the mouse and lose the house.” Again, 60 Minutes highlights these problems in its video “Slot Machines: The Big Gamble.” With justification, gambling lobbyists brag that Internet gambling is the “killer application” — killing both individual and institutional finances. Countries cannot gamble their way to prosperity. Internet gambling shrinks the consumer economy and destroys consumer confidence by promoting a ubiquitous gambling philosophy. Legalizing U.S. online gambling would allow dubious parties to tout the U.S. imprimatur — empowering them to create a queue of speculative bubbles that could collapse already fragile financial systems and destabilize essential international economic security.",summarize the following text: ,"Internet gambling is an issue of strategic financial stability Putin noted the economic and crime costs of state-sanctioned gambling and recriminalized casinos Kadyrov confirmed that “the gambling business is ... [a threat to] national security.” What do the Russian economists know that is still eluding Washington politicians? At least the subprime crisis had some real property as collateral. with Internet gambling there’s nothing of real value — just people dumping money into gambling accounts which can evaporate more easily than the Bernie Madoff monies. U.S. gambling is an economic cancer ready to metastasize into Internet gambling. the Congressional Gaming Caucus used the 9/11 tragedy to cripple the 2002 Economic Stimulus Bill with $40 billion in tax write-offs for slot machines and associated electronics recurring write-offs for slots are still draining the U.S. Treasury and could easily be transposed into more write-offs for Internet gambling technologies. Gambling lobbyists also dominate the economic policies of 28 states, draining state treasuries experts commonly refer to Internet gambling as “crack cocaine” for addicting new gamblers. Countries cannot gamble their way to prosperity. Internet gambling shrinks the consumer economy and destroys consumer confidence by promoting a ubiquitous gambling philosophy. Legalizing U.S. online gambling would allow dubious parties to tout the U.S. imprimatur — empowering them to create a queue of speculative bubbles that could collapse already fragile financial systems and destabilize essential international economic security."
"George, Professor of Law @ The Catholic University of America, Notre Dame Journal Of Law, Ethics & Public Policy, Vol. 13, “Judicial Decision-Making in the Age of Biotechnology”, AB
Bioethics can be seen as having no defined essence which sets it apart as a distinct study or discipline. Rather, its individuation derives from a de facto set of issues interrelated by what might be termed ""family resemblances."" While a common thread joining all of the issues is exceedingly difficult to find, the central core comprising the list of these issues, without question, is a felt concern over the technology of control of man's body, his mind, and quality of life. Many of the concerns of bioethics are concerns of public policy—or with legislation and policy guidelines—at state, local, and federal levels, that need to be enacted and enforced with respect to all of the issues comprising the de facto set. It has been suggested that bioethical concerns are but those prohibitions all rational people urge everyone to follow in an effort to avoid evils on which common agreement exists. Outside the individual context of determining how one treats another, for moral acceptability to be given at the broader societal level, a democratic consensus must be reached acknowledging that a certain good must be promoted though its promotion causes some degree of harm. It is within this setting where much of what is recognized as ""bioethics"" is focused. While individual morality operates primarily within a system of restraints, policies affecting society as a whole operate on a level where promotion of good is a moral option. The pivotal question thus becomes, ""what goods ought to be restrained (e.g., scientific research)?"" Of necessity, priorities, values, and goods must be weighed, balanced, and compared. Whenever the benefits and the risks of a particular course of action are weighed, it is well remembered that those very elements in the balancing test are based upon judgments about values, with the penultimate goal being the formulation and validation of a final action which minimizes human suffering and maximizes the social good. 5 In a more specific sense, bioethics encompasses a whole political movement. 6 It is a movement which seeks to harness political forces to deal with a plethora of ethical problems relating to health care delivery, both at the micro and the macro level of economic distribution. It also endeavors to respond—often through legislative reforms—to complex issues such as physician assisted suicide, cryonic suspension, genetic discrimination in the workplace, abortion, privacy, sterilization, human experimentation, collaborative reproduction by use of in vitro fertilization, artificial insemination, cloning, and personal relationships necessary to create a family by homosexuals and lesbians. 7 All too often, contemporary society's concerns over the need for regulating ethical regimes to guide or even control these activities has driven it in turn to seek medical laws about areas such as death and dying, genetic counseling and screening, reproductive technologies, and organ transplants. Often there is little choice for legal passivity or inaction since ""the law is a primary vehicle for resolving disagreements about public policy and the treatment of real persons.""8 And today, Americans seem to be reshaping their political questions ultimately into judicial questions.9 Yet, a healthy degree of skepticism is needed to see the inherent limitations on the legal system in its efforts to regulate biomedical developments. 10 Each legal tool used must be constantly fine-tuned and re-evaluated by ever changing public policies—all with the purpose of determining which of the tools is best fitted to deal with specific biomedical problems"" and which one validates a final action that ideally minimizes human suffering and maximizes the social or common good.",summarize the following text: ,"Bioethics can be seen as having no defined essence a common thread joining all of the issues is difficult the core is a felt concern over the technology of control of man's body, his mind, and quality of life concerns of bioethics are concerns of public policy with legislation and policy guidelines at state, local, and federal levels, that need to be enacted and enforced with respect to all of the issues comprising the de facto set Outside the individual context a democratic consensus must be reached acknowledging that a certain good must be promoted individual morality operates within a system of restraints policies affect  society as a whole operate on a level where promotion of good is a moral option The pivotal question thus becomes Of priorities values and goods must be weighed and compared In a more specific sense bioethics encompasses a whole political movement It is a movement which seeks to harness political forces to deal with ethical problems relating to health care delivery, both at the micro and the macro level It also endeavors to respond often through legislative reforms to complex issues such as physician assisted suicide contemporary society's concerns over the need for regulating ethical regimes to guide or even control these activities to seek medical laws about areas such as death and dying there is little choice for legal passivity or inaction since the law is a primary vehicle for resolving disagreements about public policy and the treatment of real persons Each legal tool used must be constantly fine-tuned and re-evaluated by ever changing public policies with the purpose of determining tools best fitted to deal with specific biomedical problems"" and validates a final action that minimizes human suffering"
"There is today an increasing critique of economic development, whether it takes place in the North or in the South. Although the world on average generates more and more wealth, the riches do not appear to ""trickle down"" to the poor and improve their material well-being. Instead, poverty and economic inequality is growing. Despite the existence of development aid for more than half a century, the Third World seems not to be ""catching up"" with the First World. Instead, militarism, dictatorship and human repression is multiplied. Since the mid 1970, the critique of global economic activities has intensified due to the escalating deterioration of the natural environment. Modernization, industrialisation and its economic activities have been directly linked to increased scarcity of natural resources and generation of pollution, which increases global temperatures and degrades soils, lands, water, forests and air. The latter threat is of great significance, because without a healthy environment human beings and animals will not be able to survive. Most people believed that modernization of the world would improve material well-being for all. However, faced with its negative side effects and the real threat of extinction, one must conclude that somewhere along the way ""progress"" went astray. Instead of material plenty, economic development generated a violent, unhealthy and unequal world. It is a world where a small minority live in material luxury, while millions of people live in misery. These poor people are marginalized by the global economic system. They are forced to survive from degraded environments; they live without personal or social security; they live in abject poverty, with hunger, malnutrition and sickness; and they have no possibility to speak up for themselves and demand a fair share of the world's resources. The majority of these people are women, children, traditional peoples, tribal peoples, people of colour and materially poor people (called women and Others). They are, together with nature, dominated by the global system of economic development imposed by the North. It is this scenario, which is the subject of the dissertation. The overall aim is consequently to discuss the unjustified domination of women, Others and nature and to show how the domination of women and Others is interconnected with the domination of nature. A good place to start a discussion about domination of women, Others and nature is to disclose how they disproportionately must carry the negative effects from global economic development. The below discussion is therefore meant to give an idea of the ""flip-side"" of modernisation. It gives a gloomy picture of what ""progress"" and its focus on economic growth has meant for women, poor people and the natural environment. The various complex and inter-connected, negative impacts have been ordered into four crises. The categorization is inspired by Paul Ekins and his 1992 book ""A new world order; grassroots movements for global change"". In it, Ekins argues that humanity is faced with four interlocked crises of unprecedented magnitude. These crises have the potential to destroy whole ecosystems and to extinct the human race. The first crisis is the spread of nuclear and other weapons of mass destruction, together with the high level of military spending. The second crisis is the increasing number of people afflicted with hunger and poverty. The third crisis is the environmental degradation. Pollution, destruction of ecosystems and extinction of species are increasing at such a rate that the biosphere is under threat. The fourth crisis is repression and denial of fundamental human rights by governments, which prevents people from developing their potential. It is highly likely that one may add more crises to these four, or categorize them differently, however, Ekins's division is suitable for the present purpose. (Ekins 1992: 1).",summarize the following text: ,"Although the world generates more wealth, the riches do not trickle down"" to the poor poverty and economic inequality is growing the Third World seems not to be ""catching up"" with the First World militarism, dictatorship and human repression is multiplied the critique of global economic activities has intensified due to the escalating deterioration of the natural environment Modernization, and its economic activities have been directly linked to increased scarcity and pollution which increases global temperatures and degrades soils, lands, water, forests and air without a healthy environment human beings and animals will not be able to survive faced with its negative side effects and the real threat of extinction, one must conclude that somewhere along the way ""progress"" went astray economic development generated a violent, unhealthy and unequal world a small minority live in material luxury poor people are marginalized by the global economic system people are, together with nature, dominated by the global system of economic development domination of women and Others is interconnected with the domination of nature humanity is faced with four interlocked crises of unprecedented magnitude. These crises have the potential to destroy whole ecosystems and to extinct the human race. The first crisis is the spread of nuclear and other weapons of mass destruction The second is the increasing number of people afflicted with hunger and poverty Pollution, destruction of ecosystems and extinction of species are increasing at such a rate that the biosphere is under threat The fourth crisis is repression of fundamental human rights"
"Let’s start with the obvious. Any normal person is going to be more anxious than usual while awaiting a biopsy result, a turbulent airplane landing, or a l8ayoff notice. Human emotions tend to match the situation. The same is true of a more widespread threat. Of course the public at large will be commensurately alarmed when told that a terrorism attack, an epidemic, or a hurricane may be approaching. Moreover, fear isn’t just normal in frightening situations; it is functional. Both the human body and the body politic ultimately benefit from the changes (physiological and sociological ... and inevitably emotional) that accompany preparedness for crisis.  Take terrorism as a case in point. Nearly everyone agrees that we need people to be vigilant for indications of terrorist attacks; to prepare themselves and their families to cope with possible attacks; to be supportive of preparedness expenses and tolerant of preparedness inconveniences. And nearly everyone agrees that we need all this to ramp up in an actual attack, so that people put other agendas on hold, follow instructions willingly, and help care for their neighbors. The question is what emotional state, what state of mind, is conducive to this sort of public readiness.  We believe the right answer is fear. We won’t get there if terrorism is merely one of many issues people are “concerned” about, along with West Nile Virus and inflation and rap lyrics. Either terrorism is different from most other concerns, or it isn’t. If it is, we need to get used to the idea that people are going to be appropriately frightened, and we need to help them get used to it too.  Not all fear is functional. Fear that is paralyzing, fear that verges on panic, is obviously not functional. Terror is the goal of terrorism, not the goal of preparedness. But fear is not necessarily terror. This is a conceptual mistake officials routinely make, a mistake they seem terribly attracted to — the embedded, preconscious, erroneous assumption that all fear is one short step removed from panic. Some fear is. Most fear is not.  When officials express their reluctance about “unduly frightening people,” they are literally right. The key word here is “unduly.” Unduly frightening people is wrong. Duly frightening people is right, and important. The problem is telling the two apart.  The distinction is partly a matter of degree — “enough” fear versus “excessive” fear. Perhaps in addition there are kinds of fear like the kinds of cholesterol — “good” fear versus “bad” fear. But we suspect the key difference is neither the amount of fear nor the kind of fear, but rather people’s ability to bear the fear. Much is known about how to enhance that ability. Among the things that help:  Give people things to do — action binds anxiety. Give people things to decide — decision-making provides more individual control, which makes fear more tolerable. Encourage appropriate anger — the desire to get even often trumps the desire to cower. Encourage love (and camaraderie) — soldiers, for example, fight for their friends and for their country. Provide candid leadership — we get more frightened when our leaders seem to be misleading us.  Show your own fear and show you can bear it — apparently fearless leaders are little help to a fearful public.  Most importantly, treat other people’s fear as legitimate. Fear is likeliest to escalate into terror or panic (or to flip into denial) when it is treated as shameful and wrong. “It’s natural to be afraid, I’m afraid too” is a much more empathic response to public fear than “there’s nothing to be afraid of.” If we want people to bear their fear, we must assure them that their fear is appropriate. Even fear that is statistically inappropriate can and should be legitimized as normal, understandable, and widespread. Leaders who are contemptuous of people’s fear have a much tougher time explaining the reasons why they needn’t be afraid.",summarize the following text: ,"Any normal person is going to be more anxious than usual while awaiting a biopsy result, Human emotions tend to match the situation. The same is true of a more widespread threat. fear isn’t just normal in frightening situations; it is functional We won’t get there if terrorism is merely one of many issues people are “concerned” about, along with West Nile Virus and inflation and rap lyrics. Either terrorism is different from most other concerns, or it isn’t. If it is, we need to get used to the idea that people are going to be appropriately frightened, Fear that is paralyzing verges on panic, is obviously not functional. Terror is the goal of terrorism, not the goal of preparedness. But fear is not necessarily terror. This is a conceptual mistake officials routinely make the embedded, preconscious, erroneous assumption that all fear is one short step removed from panic Unduly frightening people is wrong. Duly frightening people is right, the key difference is neither the amount of fear nor the kind of fear, but rather people’s ability to bear the fear. Much is known about how to enhance that ability Give people things to do — action binds anxiety. Give people things to decide — decision-making provides more individual control Encourage appropriate anger Encourage love (and camaraderie Provide candid leadership — we get more frightened when our leaders seem to be misleading us.  Show your own fear and show you can bear it treat other people’s fear as legitimate. Fear is likeliest to escalate into terror or panic (or to flip into denial) when it is treated as shameful and wrong Leaders who are contemptuous of people’s fear have a much tougher time explaining the reasons why they needn’t be afraid."
"(Linda L., A Question of Balance in Regulating how we die: the ethical, medical, and legal issues surrounding physician-assisted suicide, Pg. 258-60)
Sixth, and perhaps most important of all, physician-assisted suicide and euthanasia are apparently not the real issues being raised by suffering patients and policymakers, nor the best answer to their concerns. It is essential to have a solid grip on the root motivations for calls for assisted death, whether made by individu- als or the larger society, and to respond to the root cause before the overt call is evaluated on face value. Treatment of the root cause is far more reliable, safe, and effective than treatment of the presenting complaint alone. This is a matter of sound clinical and social policy practice. Strong data all point to the predominance of psychosocial, contextual suffering or fear of suffering as moti- vators, rather than current, unbearable, unrelievable, pathophysi- ological suffering. Most requesters are motivated not by pain but by fear: fear of future suffering, fear of indignity, fear of burden- someness, fear of abandonment, and fear of lost control. The severity of psychOsocial suffering need not be understated to stand by this argument. Rather, the point is that psychosocial suffering should be treated by ameliorating its sources, not by eliminating the victim. Unfortunately, the widely acknowledged difficultyof assessing and lessening psychosocial suffering is a factorthat could ~ake physicians more prone to misuse of physi- cian-assistedsuicide and euthanasia if it were legalized. Sothis is the position to which the reflective process of editing thisvolumehas led me: In a very real sense, the current physician-assisted suicide and euthanasia debate in the United States is a false debate. If society takes the call for legally endorsed physi- cian-assistedsuicide and euthanasia on face value alone, and if themedicalprofession as a whole or physicians in particular take patients' calls for physician-assisted suicide and euthanasia on facevalue alone, society, the profession, and physicians will have madea graveerror, Without better understanding of the fears that drive these requests, policies will be enacted and acts taken that not only miss the point but risk abuse. Some of history's great mistakes have been founded on misconceptions no greater than this failure to examine root causes. Positions on whether or not physician-assisted suicide and euthanasia are ever justifiable neednot hinder us from reaching a consensus on the need to pursuethis investigation. A responsible society and a responsible professionwould not wish to pursue contentious policy, and a professionalwould not wish to act for reasons that turn out to havebeen beside the point and risky. This is not the place to examine in depth the root causes of requestsfor assisted suicide; I am neither a psychologist nor a sociologist,and no spiritual authority either. Nonetheless, it is relevantto note that society in general, and medical culture too, havebeen in a death-denying era, perhaps since the sClentlfic revolution or at least since biomedical technology became so powerfulin this century. Society sequesters and sanitizes our dyingin hospitals, it pursues youth, control, and potency, and It avoidstalk of normal dying. We do not have a healthy place in societyfor the dying and for rituals surrounding death. Cultural health and personal maturity require a balanced place for the realities of normal dying. Perhaps the physician-assisted suicide and euthanasia debate is evidence that society is beginning to climb out of its death-denying phase. Or perhaps its is evidence of imbalance and irrational denial; the call for physician-assited suicide and euthanasia could be an attempt to be rid of normal dying. Or perhaps death denial is only part of the problem. Per- haps societal selfishness and pride of potency have caused failing members of society to be and feel unwelcome, burdensome, abandoned, undignified, and ashamed to be the frail humans that we all are.",summarize the following text: ,"It is essential to have a solid grip on the root motivations for calls for assisted death and to respond to the root cause before the overt call is evaluated . Strong data all point to the predominance of psychosocial, contextual suffering or fear of suffering as moti- vators, rather than current, unbearable suffering Most requesters are motivated not by pain but by fear: fear of future suffering, fear of indignity, fear of burden- someness, fear of abandonment, and fear of lost control. the point is that psychosocial suffering should be treated by ameliorating its sources, not by eliminating the victim the current physician-assisted suicide debate is a false debate Without better understanding of the fears that drive these requests, policies will be enacted and acts taken that not only miss the point but risk abuse history's great mistakes have been founded on misconceptions no greater than this failure to examine root causes death denial is only part of the problem societal selfishness and pride of potency have caused failing members of society to be and feel unwelcome, burdensome, abandoned, undignified, and ashamed to be the frail humans that we all are"
"For Zizek it is imperative that we cut through this Gordian knot of postmodern protocol and recognize that our ethico-political responsibility is to confront the constitutive violence of today’s global capitalism and its obscene naturalization / anonymization of the millions who are subjugated by it throughout the world. Against the standardized positions of postmodern culture – with all its pieties concerning ‘multiculturalist’ etiquette – Zizek is arguing for a politics that might be called ‘radically incorrect’ in the sense that it break with these types of positions 7 and focuses instead on the very organizing principles of today’s social reality: the principles of global liberal capitalism. This requires some care and subtlety. For far too long, Marxism has been bedeviled by an almost fetishistic economism that has tended towards political morbidity. With the likes of Hilferding and Gramsci, and more recently Laclau and Mouffee, crucial theoretical advances have been made that enable the transcendence of all forms of economism. In this new context, however, Zizek argues that the problem that now presents itself is almost that of the opposite fetish. That is to say, the prohibitive anxieties surrounding the taboo of economism can function as a way of not engaging with economic reality and as a way of implicitly accepting the latter as a basic horizon of existence. In an ironic Freudian-Lacanian twist, the fear of economism can end up reinforcing a de facto economic necessity in respect of contemporary capitalism (i.e. the initial prohibition conjures up the very thing it fears). This is not to endorse any kind of retrograde return to economism. Zizek’s point is rather that in rejecting economism we should not lose sight of the systemic power of capital in shaping the lives and destinies of humanity and our very sense of the possible. In particular we should not overlook Marx’s central insight that in order to create a universal global system the forces of capitalism seek to conceal the politico-discursive violence of its construction through a kind of gentrification of that system. What is persistently denied by neo-liberals such as Rorty (1989) and Fukuyama (1992) is that the gentrification of global liberal capitalism is one whose ‘universalism’ fundamentally reproduces and depends upon a disavowed violence that excludes vast sectors of the world’s populations. In this way, neo-liberal ideology attempts to naturalize capitalism by presenting its outcomes of winning and losing as if they were simply a matter of chance and sound judgment in a neutral market place. Capitalism does indeed create a space for a certain diversity, at least for the central capitalist regions, but it is neither neutral nor ideal and its price in terms of social exclusion is exorbitant. That is to say, the human cost in terms of inherent global poverty and degraded ‘life-chances’ cannot be calculated within the existing economic rationale and, in consequence, social exclusion remains mystified and nameless (viz. the patronizing reference to the ‘developing world’). And Zizek’s point is that this mystification is magnified through capitalism’s profound capacity to ingest its own excesses and negativity: to redirect (or misdirect) social antagonisms and to absorb them within a culture of differential affirmation. Instead of Bolshevism, the tendency today is towards a kind of political boutiquism that is readily sustained by postmodern forms of consumerism and lifestyle.  Against this Zizek argues for a new universalism whose primary ethical directive is to confront the fact that our forms of social existence are founded on exclusion on a global scale. While it is perfectly true that universalism can never become Universal (it will always require a hegemonic-particular embodiment in order to have any meaning), what is novel about Zizek’s universalism is that it would not attempt to conceal this fact or reduce the status of the abject Other to that of a ‘glitch’ in an otherwise sound matrix.",summarize the following text: ,"our ethico-political responsibility is to confront the constitutive violence of today’s global capitalism and its obscene naturalization / anonymization of the millions who are subjugated by it throughout the world. in order to create a universal global system the forces of capitalism seek to conceal the politico-discursive violence of its construction through a kind of gentrification of that system. the gentrification of global liberal capitalism fundamentally reproduces and depends upon a disavowed violence that excludes vast sectors of the world’s populations. neo-liberal ideology attempts to naturalize capitalism by presenting its outcomes of winning and losing as if they were simply a matter of chance and sound judgment in a neutral market place. the human cost in terms of inherent global poverty and degraded ‘life-chances’ cannot be calculated within the existing economic rationale and, social exclusion remains mystified and nameless this mystification is magnified through capitalism’s profound capacity to ingest its own excesses and negativity: to redirect social antagonisms and to absorb them within a culture of differential affirmation. Zizek argues for a new universalism whose primary ethical directive is to confront the fact that our forms of social existence are founded on exclusion on a global scale. what is novel about Zizek’s universalism is that it would not attempt to conceal this fact or reduce the status of the abject Other to that of a ‘glitch’ in an otherwise sound matrix"
