input,context,expected_output
"Drawing on the work of psychotherapy researchers Robert Elliott, Clara Hill and colleagues, the following scheme has been proposed for the write up of qualitative thematic analysis when describing the ‘weighting’ of codes or categories (i.e. the number of interviews that the code/category appeared in). The intention is to use ‘plain English’ terms to describe the frequency of occurrence. For example the term ‘around half’ is used to describe 50% plus or minus one interview, and ‘nearly all’ is used to describe 100% minus one or two interviews.",summarize the following text: ,The intention is to use ‘plain English’ terms to describe the frequency of occurrence. For example nearly all’ is used to describe 100% minus one or two
"In matters of national security, establishing a clear definition of terms is a precondition for effective policymaking. Decisionmakers who invoke critical terms in an erratic, ad hoc fashion risk alienating their constituencies. They also risk exacerbating misperceptions and hostility among those the policies target. Scholars who commit the same error undercut their ability to conduct valuable empirical research. Hence, if scholars and policymakers fail rigorously to define ""engagement,"" they undermine the ability to build an effective foreign policy.",summarize the following text: ,"a clear definition of terms is a precondition Decisionmakers who invoke critical terms in an erratic, ad hoc fashion risk exacerbating misperceptions Scholars who commit the same error undercut their ability to conduct valuable empirical research"
"le·gal·ize [ˈlēgəˌlīz/] verb verb: legalize; 3rd person present: legalizes; past tense: legalized; past participle: legalized; gerund or present participle: legalizing; verb: legalise; 3rd person present: legalises; past tense: legalised; past participle: legalised; gerund or present participle: legalizing 1. make (something that was previously illegal) permissible by law.  ""a measure legalizing gambling in Deadwood""",summarize the following text: ,le·gal·ize make (something that was previously illegal) permissible by law
"1—used in auxiliary function to express condition <if he should leave his father, his father would die — Genesis 44:22(Revised Standard Version)> 2—used in auxiliary function to express obligation, propriety, or expediency <'tis commanded I should do so — Shakespeare> <this is as it should be — H. L. Savage> <you should brush your teeth after each meal>
That’s also Merriam Webster 14 [http://www.merriam-webster.com/dictionary/should]",summarize the following text: ,to express obligation or expediency
"(Reuters) - A ballot initiative that could make Alaska the third U.S. state to legalize recreational marijuana will go before voters in a general election in November rather than in August as previously scheduled, officials said on Monday. The move means that a broader swath of the public is likely to vote on the issue than if it had gone before voters as scheduled during a state primary election in August.",summarize the following text: ,A ballot initiative that could make Alaska the third U.S. state to legalize recreational marijuana will go before voters in a general election in November rather than in August The means that a broader swath of the public is likely to vote on the issue than if it had gone before voters as scheduled
"In matters of national security, establishing a clear definition of terms is a precondition for effective policymaking. Decisionmakers who invoke critical terms in an erratic, ad hoc fashion risk alienating their constituencies. They also risk exacerbating misperceptions and hostility among those the policies target. Scholars who commit the same error undercut their ability to conduct valuable empirical research. Hence, if scholars and policymakers fail rigorously to define ""engagement,"" they undermine the ability to build an effective foreign policy.",summarize the following text: ,"a clear definition of terms is a precondition Decisionmakers who invoke critical terms in an erratic, ad hoc fashion risk exacerbating misperceptions Scholars who commit the same error undercut their ability to conduct valuable empirical research"
"Finally, political ignorance makes it more difficult for prediction markets to function at all. In part because most of the public is either unaware of prediction markets or does not understand their value, there was little outcry over the US government’s recent crackdown on Intrade, one of the largest prediction market sites. The Commodity Futures Trading Commission forced Intrade to stop taking bets from Americans.",summarize the following text: ,political ignorance makes it difficult for prediction markets to function at all because the public is either unaware of prediction markets or does not understand their value there was little outcry over the US government’s recent crackdown
"Experience over the last five years also has taught that a nation cannot build a successful online gambling indury unless it effectively excludes unlicensed operators. To the extent that unlicensed operators are able to attract US residents to their websites, those residents will not gain the protection of the regulatory structures we support, nor will the nation gain the jobs and government revenues that are at stake here. Accordingly. U.S. law should clearly prohibit those forms of Internet gambling.",summarize the following text: ,"a nation cannot build a successful online gambling indury unless it effectively excludes unlicensed operators unlicensed operators are able to attract US residents to their websites, those residents will not gain the protection of the regulatory structures U.S. law should clearly prohibit those forms of Internet gambling."
"Democrat Kay Hagan, North Carolina Senate — Money is one of the chief reasons this Tar Heel incumbent [Hagan] may be the only red state Democrat to survive in November. She again topped the charts with $4.9 million fundraising to Tillis’s $3.4 million. The GOP state House Speaker has picked up the pace from his initial paltry hauls, and has slightly more in the bank, but Hagan’s early spending pace is what’s kept her above water.",summarize the following text: ,Money is one of the chief reasons Hagan may be the only red state Democrat to survive in November. Hagan’s early spending pace is what’s kept her above water.
"In previous cycles, we've had soccer moms and NASCAR dads as the voting demographic that tipped elections one way or another. Next year it may be seniors. Seniors broke heavily for Republicans in 2010 and they are usually a disproportionate voice in midterm elections because they're more likely to vote. A new Democracy Corps (D) surveysuggests they may play an even bigger role in the 2014 midterm elections. And they're moving to vote Democratic.",summarize the following text: ,the voting demographic that tipped elections may be seniors. Seniors are usually a disproportionate voice in midterm elections because they're more likely to vote they may play an even bigger role in the 2014 midterm elections
